ticker,feature,psi
HINDPETRO.NS,rsi,0.0989
HINDPETRO.NS,atr,12.1675
HINDPETRO.NS,ema_20,15.7718
HINDPETRO.NS,ema_50,15.8861
HINDPETRO.NS,ema_200,15.3776
HINDPETRO.NS,ret_1,0.0284
HINDPETRO.NS,ret_5,0.0473
HINDPETRO.NS,ret_10,0.0511
TATASTEEL.NS,rsi,0.0609
TATASTEEL.NS,atr,0.2374
TATASTEEL.NS,ema_20,12.131
TATASTEEL.NS,ema_50,15.8171
TATASTEEL.NS,ema_200,18.8787
TATASTEEL.NS,ret_1,0.232
TATASTEEL.NS,ret_5,0.2947
TATASTEEL.NS,ret_10,0.2684
VOLTAS.NS,rsi,0.0823
VOLTAS.NS,atr,4.5567
VOLTAS.NS,ema_20,8.9584
VOLTAS.NS,ema_50,8.8151
VOLTAS.NS,ema_200,9.1738
VOLTAS.NS,ret_1,0.0266
VOLTAS.NS,ret_5,0.0293
VOLTAS.NS,ret_10,0.0274
LAURUSLABS.NS,rsi,0.4236
LAURUSLABS.NS,atr,0.7155
LAURUSLABS.NS,ema_20,0.9536
LAURUSLABS.NS,ema_50,0.8159
LAURUSLABS.NS,ema_200,5.6917
LAURUSLABS.NS,ret_1,0.0275
LAURUSLABS.NS,ret_5,0.0562
LAURUSLABS.NS,ret_10,0.1323
ASHOKLEY.NS,rsi,0.0567
ASHOKLEY.NS,atr,4.4002
ASHOKLEY.NS,ema_20,26.4016
ASHOKLEY.NS,ema_50,26.3171
ASHOKLEY.NS,ema_200,29.9964
ASHOKLEY.NS,ret_1,0.1102
ASHOKLEY.NS,ret_5,0.1211
ASHOKLEY.NS,ret_10,0.1575
POLYCAB.NS,rsi,0.0927
POLYCAB.NS,atr,19.7762
POLYCAB.NS,ema_20,30.358
POLYCAB.NS,ema_50,30.7232
POLYCAB.NS,ema_200,37.2473
POLYCAB.NS,ret_1,0.0153
POLYCAB.NS,ret_5,0.0361
POLYCAB.NS,ret_10,0.0448
GUJGASLTD.NS,rsi,0.148
GUJGASLTD.NS,atr,1.0656
GUJGASLTD.NS,ema_20,1.5247
GUJGASLTD.NS,ema_50,4.8818
GUJGASLTD.NS,ema_200,8.6827
GUJGASLTD.NS,ret_1,0.0858
GUJGASLTD.NS,ret_5,0.0467
GUJGASLTD.NS,ret_10,0.0774
MPHASIS.NS,rsi,0.0358
MPHASIS.NS,atr,1.4868
MPHASIS.NS,ema_20,8.6983
MPHASIS.NS,ema_50,8.307
MPHASIS.NS,ema_200,4.6743
MPHASIS.NS,ret_1,0.0378
MPHASIS.NS,ret_5,0.0342
MPHASIS.NS,ret_10,0.0382
SUZLON.NS,rsi,0.1368
SUZLON.NS,atr,20.1378
SUZLON.NS,ema_20,26.5748
SUZLON.NS,ema_50,26.4837
SUZLON.NS,ema_200,29.8983
SUZLON.NS,ret_1,0.1765
SUZLON.NS,ret_5,0.153
SUZLON.NS,ret_10,0.1852
PRESTIGE.NS,rsi,0.3369
PRESTIGE.NS,atr,16.0065
PRESTIGE.NS,ema_20,23.6611
PRESTIGE.NS,ema_50,23.2558
PRESTIGE.NS,ema_200,26.5368
PRESTIGE.NS,ret_1,0.0627
PRESTIGE.NS,ret_5,0.1105
PRESTIGE.NS,ret_10,0.1469
DIXON.NS,rsi,0.3584
DIXON.NS,atr,8.1294
DIXON.NS,ema_20,12.7926
DIXON.NS,ema_50,12.3498
DIXON.NS,ema_200,15.584
DIXON.NS,ret_1,0.038
DIXON.NS,ret_5,0.046
DIXON.NS,ret_10,0.1057
SUPREMEIND.NS,rsi,0.0579
SUPREMEIND.NS,atr,23.0276
SUPREMEIND.NS,ema_20,30.2946
SUPREMEIND.NS,ema_50,30.6079
SUPREMEIND.NS,ema_200,37.2473
SUPREMEIND.NS,ret_1,0.0465
SUPREMEIND.NS,ret_5,0.0328
SUPREMEIND.NS,ret_10,0.0895
COFORGE.NS,rsi,0.1927
COFORGE.NS,atr,0.9446
COFORGE.NS,ema_20,18.9869
COFORGE.NS,ema_50,19.2578
COFORGE.NS,ema_200,19.2382
COFORGE.NS,ret_1,0.1271
COFORGE.NS,ret_5,0.0464
COFORGE.NS,ret_10,0.0412
SRF.NS,rsi,0.2562
SRF.NS,atr,4.2276
SRF.NS,ema_20,11.5792
SRF.NS,ema_50,11.9332
SRF.NS,ema_200,19.9642
SRF.NS,ret_1,0.0659
SRF.NS,ret_5,0.1881
SRF.NS,ret_10,0.2226
ICICIBANK.NS,rsi,0.0252
ICICIBANK.NS,atr,1.3617
ICICIBANK.NS,ema_20,26.8173
ICICIBANK.NS,ema_50,29.9424
ICICIBANK.NS,ema_200,30.8681
ICICIBANK.NS,ret_1,0.2487
ICICIBANK.NS,ret_5,0.2696
ICICIBANK.NS,ret_10,0.2878
BHARTIARTL.NS,rsi,0.2569
BHARTIARTL.NS,atr,12.1953
BHARTIARTL.NS,ema_20,26.9264
BHARTIARTL.NS,ema_50,29.8205
