ticker,cagr,max_dd,winrate,n_days,n_trades,last_date
SBICARD.NS,0.0,0.0,0.0,1226,0,2025-09-12
TATACONSUM.NS,0.0,0.0,0.0,1239,0,2025-09-12
BANKBARODA.NS,0.0,0.0,0.0,1239,0,2025-09-12
INDHOTEL.NS,0.0,0.0,0.0,1226,0,2025-09-12
M&M.NS,-2.67,-31.38,18.56,1239,97,2025-09-12
GRASIM.NS,1.58,-12.54,24.26,1239,68,2025-09-12
KOTAKBANK.NS,-4.02,-22.27,23.91,1239,23,2025-09-12
NMDC.NS,0.0,0.0,0.0,1226,0,2025-09-12
ITC.NS,0.0,0.0,0.0,1239,0,2025-09-12
LAURUSLABS.NS,0.0,0.0,0.0,1226,0,2025-09-12
IDEA.NS,0.0,0.0,0.0,1226,0,2025-09-12
PGEL.NS,0.0,0.0,0.0,1226,0,2025-09-12
CIPLA.NS,0.0,0.0,0.0,1239,0,2025-09-12
TATAPOWER.NS,0.0,0.0,0.0,1226,0,2025-09-12
DIXON.NS,0.0,0.0,0.0,1226,0,2025-09-12
DRREDDY.NS,0.0,0.0,0.0,1239,0,2025-09-12
MUTHOOTFIN.NS,0.0,0.0,0.0,1226,0,2025-09-12
ASHOKLEY.NS,0.0,0.0,0.0,1226,0,2025-09-12
MARUTI.NS,1.31,-7.39,30.19,1239,53,2025-09-12
COALINDIA.NS,0.0,0.0,0.0,1239,0,2025-09-12
JSWSTEEL.NS,-0.89,-11.14,21.74,1239,46,2025-09-12
MAXHEALTH.NS,0.0,0.0,0.0,1226,0,2025-09-12
IREDA.BO,0.0,0.0,0.0,426,0,2025-09-12
IDFCFIRSTB.NS,0.0,0.0,0.0,1226,0,2025-09-12
BAJAJ-AUTO.NS,0.0,0.0,0.0,1239,0,2025-09-12
PNB.NS,0.0,0.0,0.0,1239,0,2025-09-12
INFY.NS,0.0,0.0,0.0,1239,0,2025-09-12
NHPC.NS,0.0,0.0,0.0,1226,0,2025-09-12
HDFCLIFE.NS,0.0,0.0,0.0,1239,0,2025-09-12
ASIANPAINT.NS,0.0,0.0,0.0,1239,0,2025-09-12
NEWGEN.NS,0.0,0.0,0.0,1226,0,2025-09-12
PVRINOX.NS,0.0,0.0,0.0,671,0,2025-09-12
LT.NS,2.55,-13.28,22.39,1239,67,2025-09-12
ARVIND.NS,0.0,0.0,0.0,1226,0,2025-09-12
NESTLEIND.NS,-2.64,-17.69,27.36,1239,53,2025-09-12
TITAN.NS,-0.1,-14.35,24.0,1239,50,2025-09-12
LUPIN.NS,0.0,0.0,0.0,1226,0,2025-09-12
NAVINFLUOR.NS,0.0,0.0,0.0,1226,0,2025-09-12
MRF.NS,0.0,0.0,0.0,1226,0,2025-09-12
MPHASIS.NS,0.0,0.0,0.0,1226,0,2025-09-12
GODREJPROP.NS,0.0,0.0,0.0,1226,0,2025-09-12
MARICO.NS,0.0,0.0,0.0,1226,0,2025-09-12
TATASTEEL.NS,0.0,0.0,0.0,1239,0,2025-09-12
ALKEM.NS,0.0,0.0,0.0,1226,0,2025-09-12
METROPOLIS.NS,0.0,0.0,0.0,1226,0,2025-09-12
TATAMOTORS.NS,4.67,-10.65,31.25,1239,48,2025-09-12
HINDPETRO.NS,0.0,0.0,0.0,1226,0,2025-09-12
CUMMINSIND.NS,0.0,0.0,0.0,1226,0,2025-09-12
INDUSTOWER.NS,0.0,0.0,0.0,1226,0,2025-09-12
BALKRISIND.NS,0.0,0.0,0.0,1226,0,2025-09-12
GOKEX.BO,0.0,0.0,0.0,1204,0,2025-09-12
ONGC.NS,2.8,-10.93,20.63,1239,63,2025-09-12
HINDALCO.NS,-2.34,-21.37,22.95,1239,61,2025-09-12
FEDERALBNK.NS,0.0,0.0,0.0,1226,0,2025-09-12
PERSISTENT.NS,0.0,0.0,0.0,1226,0,2025-09-12
TORNTPOWER.NS,0.0,0.0,0.0,1226,0,2025-09-12
BSE.NS,0.0,0.0,0.0,1226,0,2025-09-12
BAJAJFINSV.NS,0.0,0.0,0.0,1239,0,2025-09-12
LODHA.NS,0.0,0.0,0.0,1079,0,2025-09-12
