ticker,feature,psi
ZYDUSLIFE.NS,rsi,0.1965
ZYDUSLIFE.NS,atr,5.4286
ZYDUSLIFE.NS,ema_20,22.7937
ZYDUSLIFE.NS,ema_50,22.7962
ZYDUSLIFE.NS,ema_200,20.0233
ZYDUSLIFE.NS,ret_1,0.0419
ZYDUSLIFE.NS,ret_5,0.099
ZYDUSLIFE.NS,ret_10,0.2002
YESBANK.NS,rsi,0.068
YESBANK.NS,atr,0.3465
YESBANK.NS,ema_20,19.0533
YESBANK.NS,ema_50,19.5002
YESBANK.NS,ema_200,29.8496
YESBANK.NS,ret_1,0.0465
YESBANK.NS,ret_5,0.072
YESBANK.NS,ret_10,0.0467
COFORGE.NS,rsi,0.1902
COFORGE.NS,atr,0.948
COFORGE.NS,ema_20,18.9729
COFORGE.NS,ema_50,19.2427
COFORGE.NS,ema_200,19.2283
COFORGE.NS,ret_1,0.1332
COFORGE.NS,ret_5,0.0505
COFORGE.NS,ret_10,0.0425
IEX.NS,rsi,0.045
IEX.NS,atr,0.9239
IEX.NS,ema_20,7.9981
IEX.NS,ema_50,7.9925
IEX.NS,ema_200,12.8155
IEX.NS,ret_1,0.0437
IEX.NS,ret_5,0.0135
IEX.NS,ret_10,0.0246
IRCTC.NS,rsi,0.1235
IRCTC.NS,atr,0.1561
IRCTC.NS,ema_20,8.0239
IRCTC.NS,ema_50,11.6765
IRCTC.NS,ema_200,19.7174
IRCTC.NS,ret_1,0.1013
IRCTC.NS,ret_5,0.1668
IRCTC.NS,ret_10,0.1722
BHARATFORG.NS,rsi,0.205
BHARATFORG.NS,atr,12.5691
BHARATFORG.NS,ema_20,26.4377
BHARATFORG.NS,ema_50,29.7928
BHARATFORG.NS,ema_200,30.0591
BHARATFORG.NS,ret_1,0.0611
BHARATFORG.NS,ret_5,0.0641
BHARATFORG.NS,ret_10,0.045
OIL.NS,rsi,0.0642
OIL.NS,atr,12.4128
OIL.NS,ema_20,30.3999
OIL.NS,ema_50,30.772
OIL.NS,ema_200,31.1817
OIL.NS,ret_1,0.0142
OIL.NS,ret_5,0.0623
OIL.NS,ret_10,0.0695
LTIM.NS,rsi,0.0825
LTIM.NS,atr,4.2747
LTIM.NS,ema_20,8.6484
LTIM.NS,ema_50,9.2559
LTIM.NS,ema_200,8.2777
LTIM.NS,ret_1,0.1771
LTIM.NS,ret_5,0.1717
LTIM.NS,ret_10,0.1516
CROMPTON.NS,rsi,0.0794
CROMPTON.NS,atr,8.7966
CROMPTON.NS,ema_20,1.1407
CROMPTON.NS,ema_50,1.4724
CROMPTON.NS,ema_200,4.7772
CROMPTON.NS,ret_1,0.0598
CROMPTON.NS,ret_5,0.0971
CROMPTON.NS,ret_10,0.0395
SRF.NS,rsi,0.253
SRF.NS,atr,4.2177
SRF.NS,ema_20,11.5661
SRF.NS,ema_50,11.9493
SRF.NS,ema_200,20.1235
