ticker,last_date,model_date,close,proba_up,calibrated,calibration_method,threshold,trend_ok,signal,stop_loss,take_profit,atr,rsi,avg_volume_20,sector,industry,rr,breakout_ok,vol_spike,pullback_ok,mtf_trend_ok,atr_close_ratio,gap_ok,regime_ok,recommended_product,recommended_reason
ICICIPRULI.NS,2025-09-12,2025-09-12,600.8,0.505,True,isotonic,0.48,False,SELL,613.62,581.57,12.819,41.678,977370,Financial Services,Insurance - Life,1.5,False,True,False,False,0.0213,True,True,,
BRITANNIA.NS,2025-09-12,2025-09-12,6247.0,0.592,True,isotonic,0.55,True,HOLD,6112.06,6449.41,134.937,71.989,423105,Consumer Defensive,Packaged Foods,1.5,False,False,False,True,0.0216,True,True,,
NHPC.NS,2025-09-12,2025-09-12,83.5,0.377,True,isotonic,0.5,False,SELL,85.17,80.99,1.675,59.709,10570362,Utilities,Utilities - Renewable,1.5,False,True,False,False,0.0201,True,True,,
PERSISTENT.NS,2025-09-12,2025-09-12,5411.0,0.321,True,isotonic,0.58,False,SELL,5548.07,5205.4,137.066,54.529,417037,Technology,Information Technology Services,1.5,False,False,False,False,0.0253,True,True,,
MPHASIS.NS,2025-09-12,2025-09-12,2904.2,0.536,True,isotonic,0.64,True,HOLD,,,80.891,55.976,438458,Technology,Information Technology Services,,False,False,False,True,0.0279,True,True,,
ONGC.NS,2025-09-12,2025-09-12,233.25,0.667,True,isotonic,0.55,False,HOLD,,,3.342,42.587,8097999,Energy,Oil & Gas Integrated,,False,False,False,False,0.0143,True,True,,
LTIM.NS,2025-09-12,2025-09-12,5332.5,0.464,True,isotonic,0.46,True,HOLD,5216.62,5506.32,115.882,60.204,209939,Technology,Information Technology Services,1.5,False,False,False,True,0.0217,True,True,,
TORNTPOWER.NS,2025-09-12,2025-09-12,1267.8,0.663,True,isotonic,0.48,False,HOLD,,,30.098,44.058,626478,Utilities,Utilities - Independent Power Producers,,False,False,False,False,0.0237,True,True,,
IREDA.BO,2025-09-12,2025-09-12,147.35,0.348,True,sigmoid,0.53,False,SELL,150.33,142.89,2.975,50.824,568582,Financial Services,Credit Services,1.5,False,False,False,False,0.0202,True,True,,
HINDUNILVR.NS,2025-09-12,2025-09-12,2580.5,0.857,True,isotonic,0.55,True,HOLD,2529.96,2656.3,50.535,46.201,1724636,Consumer Defensive,Household & Personal Products,1.5,False,False,False,True,0.0196,True,True,,
ASTRAL.NS,2025-09-12,2025-09-12,1461.1,0.525,True,isotonic,0.57,False,HOLD,,,35.101,59.043,951526,Industrials,Building Products & Equipment,,False,False,False,False,0.024,True,True,,
KOTAKBANK.NS,2025-09-12,2025-09-12,1972.3,0.404,True,isotonic,0.55,False,SELL,2001.43,1928.6,29.134,46.159,2985362,Financial Services,Banks - Regional,1.5,False,False,False,False,0.0148,True,True,,
ICICIBANK.NS,2025-09-12,2025-09-12,1417.7,0.509,True,isotonic,0.55,False,HOLD,,,16.156,49.703,7307837,Financial Services,Banks - Regional,,False,False,False,True,0.0114,True,True,,
BSE.NS,2025-09-12,2025-09-12,2201.2,0.495,True,isotonic,0.53,False,HOLD,,,84.911,41.54,5028686,Financial Services,Financial Data & Stock Exchanges,,False,False,False,True,0.0386,True,True,,
MAXHEALTH.NS,2025-09-12,2025-09-12,1184.2,0.622,True,isotonic,0.45,False,HOLD,,,27.046,46.693,2165865,Healthcare,Medical Care Facilities,,False,False,False,True,0.0228,True,True,,
